angle : [0.6108652381980153, 1.5009831567151235], coordinate : 3.740953392184929, 0.3185681082032198

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.18740405085357065, 0.6499345622293655

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

angle : [1.6406094968746698, 1.3264502315156905], coordinate : -0.12253341786579618, 0.42495721376535434

